#Epch  SVN  Week   Week-Sec          X[km]         Y[km]          Z[km]           T[Ms]
#====  ===  ====  =========  =============  =============  =============  =============
    1  R13  2205  432000.00    -312.697298   13398.326686   21684.464591     -20.888352
    2  R13  2205  432900.00   -2424.929863   11664.364518   22535.794415     -20.888818
    3  R13  2205  433800.00   -4720.870533   10043.039671   22948.612493     -20.889250
    4  R13  2205  434700.00   -7147.879970    8579.652465   22914.880620     -20.890130
    5  R13  2205  435600.00   -9646.020273    7309.711529   22435.261065     -20.890426
    6  R13  2205  436500.00  -12150.344379    6257.583751   21519.103248     -20.890902
    7  R13  2205  437400.00  -14593.407183    5435.629559   20184.260168     -20.891221
    8  R13  2205  438300.00  -16907.893856    4843.858955   18456.738212     -20.891559
    9  R13  2205  439200.00  -19029.255771    4470.121712   16370.187184     -20.891604
   10  R13  2205  440100.00  -20898.244041    4290.822508   13965.240617     -20.892097
   11  R13  2205  441000.00  -22463.234902    4272.129525   11288.719389     -20.892995
   12  R13  2205  441900.00  -23682.249853    4371.624176    8392.714465     -20.893583
   13  R13  2205  442800.00  -24524.586342    4540.320908    5333.567057     -20.894368
   14  R13  2205  443700.00  -24971.991202    4724.970408    2170.766599     -20.895781
   15  R13  2205  444600.00  -25019.328393    4870.547624   -1034.211383     -20.896185
   16  R13  2205  445500.00  -24674.713976    4922.818301   -4219.104256     -20.896796
   17  R13  2205  446400.00  -23959.113750    4830.874626   -7322.074214     -20.896897
   18  R13  2205  447300.00  -22905.421614    4549.532117  -10282.909170     -20.897617
   19  R13  2205  448200.00  -21557.058457    4041.486051  -13044.189045     -20.898619
   20  R13  2205  449100.00  -19966.151321    3279.136121  -15552.394887     -20.898793
   21  R13  2205  450000.00  -18191.369905    2246.002235  -17758.939651     -20.899018
   22  R13  2205  450900.00  -16295.511364     937.671705  -19621.101323     -20.899722
   23  R13  2205  451800.00  -14342.934451    -637.762221  -21102.841194     -20.900400
   24  R13  2205  452700.00  -12396.949784   -2459.789293  -22175.492485     -20.900767
   25  R13  2205  453600.00  -10517.274411   -4496.095598  -22818.307057     -20.901141
   26  R13  2205  454500.00   -8757.655740   -6703.676631  -23018.850620     -20.901779
   27  R13  2205  455400.00   -7163.762646   -9030.404867  -22773.239555     -20.901537
   28  R13  2205  456300.00   -5771.430264  -11416.987950  -22086.215259     -20.901762
   29  R13  2205  457200.00   -4605.330367  -13799.237569  -20971.054671     -20.902618
   30  R13  2205  458100.00   -3678.121611  -16110.556210  -19449.318453     -20.903514
   31  R13  2205  459000.00   -2990.114210  -18284.539839  -17550.441092     -20.904132
   32  R13  2205  459900.00   -2529.462371  -20257.589495  -15311.169982     -20.904578
   33  R13  2205  460800.00   -2272.876036  -21971.424035  -12774.863295     -20.905506
   34  R13  2205  461700.00   -2186.821866  -23375.389918   -9990.659161     -20.905873
   35  R13  2205  462600.00   -2229.162951  -24428.471891   -7012.531234     -20.906901
   36  R13  2205  463500.00   -2351.168206  -25100.920423   -3898.248143     -20.907378
   37  R13  2205  464400.00   -2499.806681  -25375.427417    -708.256437     -20.907921
   38  R13  2205  465300.00   -2620.229688  -25247.800290    2495.491527     -20.908343
   39  R13  2205  466200.00   -2658.335443  -24727.105448    5650.741969     -20.908926
   40  R13  2205  467100.00   -2563.307040  -23835.274386    8696.152583     -20.908883
   41  R13  2205  468000.00   -2290.015445  -22606.188307   11572.489883     -20.909358
   42  R13  2205  468900.00   -1801.184641  -21084.279196   14223.787042     -20.909695
   43  R13  2205  469800.00   -1069.225965  -19322.705779   16598.439037     -20.910054
   44  R13  2205  470700.00     -77.662554  -17381.180802   18650.213167     -20.910796
   45  R13  2205  471600.00    1177.917848  -15323.540823   20339.154732     -20.910585
   46  R13  2205  472500.00    2689.423548  -13215.160520   21632.369852     -20.911049
   47  R13  2205  473400.00    4436.353116  -11120.320054   22504.669927     -20.911801
   48  R13  2205  474300.00    6386.420673   -9099.635828   22939.065021     -20.912243
   49  R13  2205  475200.00    8496.687306   -7207.662215   22927.096532     -20.912805
   50  R13  2205  476100.00   10715.152268   -5490.764468   22469.002631     -20.912852
   51  R13  2205  477000.00   12982.738179   -3985.351445   21573.713264     -20.913776
   52  R13  2205  477900.00   15235.587749   -2716.541520   20258.674843     -20.914949
   53  R13  2205  478800.00   17407.576324   -1697.316709   18549.508037     -20.915193
   54  R13  2205  479700.00   19432.935342    -928.199336   16479.505386     -20.916085
   55  R13  2205  480600.00   21248.876985    -397.463516   14088.978615     -20.916573
   56  R13  2205  481500.00   22798.110159     -81.871051   11424.468545     -20.917361
   57  R13  2205  482400.00   24031.142407      52.100843    8537.833285     -20.918149
   58  R13  2205  483300.00   24908.271377      46.593348    5485.232897     -20.918240
   59  R13  2205  484200.00   25401.182526     -49.666671    2326.030840     -20.918622
   60  R13  2205  485100.00   25494.086448    -183.678545    -878.365790     -20.919288
   61  R13  2205  486000.00   25184.348679    -300.659815   -4065.704018     -20.919279
   62  R13  2205  486900.00   24482.586302    -346.611898   -7174.096851     -20.919690
   63  R13  2205  487800.00   23412.228196    -270.850085  -10143.225256     -20.920450
   64  R13  2205  488700.00   22008.558287     -28.390382  -12915.506658     -20.920822
   65  R13  2205  489600.00   20317.282739     417.907971  -15437.207340     -20.921650
   66  R13  2205  490500.00   18392.681771    1095.534848  -17659.477508     -20.922177
   67  R13  2205  491400.00   16295.423778    2020.932679  -19539.289589     -20.923095
   68  R13  2205  492300.00   14090.133155    3198.569844  -21040.262473     -20.923772
   69  R13  2205  493200.00   11842.812955    4620.523121  -22133.356767     -20.924366
   70  R13  2205  494100.00    9618.229122    6266.587140  -22797.428662     -20.925309
   71  R13  2205  495000.00    7477.364182    8104.906916  -23019.632703     -20.925503
   72  R13  2205  495900.00    5475.045100   10093.108044  -22795.666437     -20.925403
   73  R13  2205  496800.00    3657.842566   12179.878589  -22129.852718     -20.926154
   74  R13  2205  497700.00    2062.327700   14306.938161  -21035.058190     -20.926579
   75  R13  2205  498600.00     713.757399   16411.313620  -19532.449293     -20.926687
   76  R13  2205  499500.00    -374.758058   18427.828088  -17651.089915     -20.927343
   77  R13  2205  500400.00   -1202.571358   20291.700856  -15427.387606     -20.928228
   78  R13  2205  501300.00   -1781.285912   21941.150821  -12904.398032     -20.928846
   79  R13  2205  502200.00   -2134.024365   23319.895516  -10131.000060     -20.929147
   80  R13  2205  503100.00   -2294.208842   24379.441620   -7160.956421     -20.929323
   81  R13  2205  504000.00   -2303.904347   25081.071053   -4051.877353     -20.929923
   82  R13  2205  504900.00   -2211.795268   25397.439036    -864.106733     -20.930275
   83  R13  2205  505800.00   -2070.880557   25313.716403    2340.447927     -20.931187
   84  R13  2205  506700.00   -1935.985319   24828.227303    5499.518869     -20.932095
   85  R13  2205  507600.00   -1861.194585   23952.554559    8551.691164     -20.932914
   86  R13  2205  508500.00   -1897.318633   22711.107269   11437.601367     -20.933208
   87  R13  2205  509400.00   -2089.498106   21140.167974   14101.097820     -20.933582
   88  R13  2205  510300.00   -2475.051448   19286.458705   16490.339344     -20.934278
   89  R13  2205  511200.00   -3081.657022   17205.285590   18558.810317     -20.934752
   90  R13  2205  512100.00   -3925.948154   14958.339512   20266.231852     -20.935631
   91  R13  2205  513000.00   -5012.581884   12611.244835   21579.350924     -20.936431
   92  R13  2205  513900.00   -6333.822122   10230.958735   22472.591830     -20.936824
   93  R13  2205  514800.00   -7869.656151    7883.129919   22928.557133     -20.937508
   94  R13  2205  515700.00   -9588.440815    5629.527083   22938.368286     -20.938029
   95  R13  2205  516600.00  -11448.052318    3525.644370   22501.839279     -20.938740
   96  R13  2205  517500.00  -13397.492256    1618.583567   21627.479945     -20.938813
   97  R13  2205  518400.00  -15378.883187     -54.699002   20332.328858     -20.948643
   98  R13  2205  519300.00  -17329.770342   -1468.708663   18641.619210     -20.948387
   99  R13  2205  520200.00  -19185.633605   -2610.236934   16588.283906     -20.948735
  100  R13  2205  521100.00  -20882.503958   -3478.662112   14212.310040     -20.949320
  101  R13  2205  522000.00  -22359.574981   -4085.714141   11559.955168     -20.949806
  102  R13  2205  522900.00  -23561.699559   -4454.715579    8682.841066     -20.950293
  103  R13  2205  523800.00  -24441.666896   -4619.332342    5636.943013     -20.950857
  104  R13  2205  524700.00  -24962.164192   -4621.888652    2481.494823     -20.951237
  105  R13  2205  525600.00  -25097.340658   -4511.318999    -722.168450     -20.952375
  106  R13  2205  526500.00  -24833.908460   -4340.845160   -3911.806967     -20.952484
  107  R13  2205  527400.00  -24171.734738   -4165.477762   -7025.487835     -20.952790
  108  R13  2205  528300.00  -23123.900447   -4039.449042  -10002.788130     -20.952724
  109  R13  2205  529200.00  -21716.224173   -4013.686035  -12785.965561     -20.953629
  110  R13  2205  530100.00  -19986.271529   -4133.431346  -15321.074108     -20.954163
  111  R13  2205  531000.00  -17981.892136   -4436.112116  -17559.003296     -20.954504
  112  R13  2205  531900.00  -15759.345675   -4949.547016  -19456.421610     -20.954946
  113  R13  2205  532800.00  -13381.095294   -5690.566667  -20976.606629     -20.955257
  114  R13  2205  533700.00  -10913.360046   -6664.105475  -22090.146851     -20.955494
  115  R13  2205  534600.00   -8423.527626   -7862.803079  -22775.502697     -20.955582
  116  R13  2205  535500.00   -5977.534005   -9267.132509  -23019.416842     -20.956457
  117  R13  2205  536400.00   -3637.317616  -10846.050292  -22817.166741     -20.956420
  118  R13  2205  537300.00   -1458.452412  -12558.142300  -22172.654945     -20.956535
  119  R13  2205  538200.00     511.943360  -14353.218639  -21098.335637     -20.956751
  120  R13  2205  539100.00    2236.937202  -16174.292357  -19614.978540     -20.957460
  121  R13  2205  540000.00    3691.080573  -17959.860773  -17751.274200     -20.957585
  122  R13  2205  540900.00    4861.222286  -19646.395490  -15543.287410     -20.957804
  123  R13  2205  541800.00    5746.804024  -21170.938217  -13033.768318     -20.958450
  124  R13  2205  542700.00    6359.626251  -22473.694649  -10271.333476     -20.958817
  125  R13  2205  543600.00    6723.094758  -23500.518316   -7309.531664     -20.958928
  126  R13  2205  544500.00    6870.979754  -24205.180329   -4205.811768     -20.958801
