#Epch  SVN  Week   Week-Sec          X[km]         Y[km]          Z[km]           T[Ms]
#====  ===  ====  =========  =============  =============  =============  =============
    1  G16  2205  432000.00   -2365.867990   22553.709350   13164.116203    -491.685346
    2  G16  2205  432900.00   -3123.464844   21029.642437   15347.582005    -491.688622
    3  G16  2205  433800.00   -4050.435432   19330.211615   17256.584330    -491.692322
    4  G16  2205  434700.00   -5154.246018   17501.528227   18857.203371    -491.695561
    5  G16  2205  435600.00   -6433.831253   15592.044640   20121.297093    -491.699178
    6  G16  2205  436500.00   -7879.472373   13650.686223   21027.025877    -491.702504
    7  G16  2205  437400.00   -9473.044855   11724.986468   21559.231169    -491.706031
    8  G16  2205  438300.00  -11188.621380    9859.306190   21709.661952    -491.709390
    9  G16  2205  439200.00  -12993.399697    8093.212073   21477.048340    -491.712814
   10  G16  2205  440100.00  -14848.910843    6460.080463   20867.026702    -491.716347
   11  G16  2205  441000.00  -16712.451869    4985.980088   19891.925215    -491.719703
   12  G16  2205  441900.00  -18538.679229    3688.873156   18570.422440    -491.723320
   13  G16  2205  442800.00  -20281.294365    2578.158966   16927.094192    -491.726480
   14  G16  2205  443700.00  -21894.751889    1654.568736   14991.865726    -491.729821
   15  G16  2205  444600.00  -23335.922697     910.405553   12799.387045    -491.733396
   16  G16  2205  445500.00  -24565.649040     330.109766   10388.349102    -491.736649
   17  G16  2205  446400.00  -25550.135478    -108.881511    7800.757882    -491.740286
   18  G16  2205  447300.00  -26262.128263    -435.021880    5081.182119    -491.743815
   19  G16  2205  448200.00  -26681.845377    -681.338565    2275.988726    -491.747052
   20  G16  2205  449100.00  -26797.629877    -883.964380    -567.421805    -491.750885
   21  G16  2205  450000.00  -26606.309719   -1080.575391   -3401.369664    -491.754117
   22  G16  2205  450900.00  -26113.257670   -1308.791867   -6178.631075    -491.757422
   23  G16  2205  451800.00  -25332.154857   -1604.599299   -8853.147813    -491.761225
   24  G16  2205  452700.00  -24284.470793   -2000.843871  -11380.705328    -491.764479
   25  G16  2205  453600.00  -22998.681213   -2525.852981  -13719.574995    -491.768104
   26  G16  2205  454500.00  -21509.252586   -3202.226515  -15831.116776    -491.771582
   27  G16  2205  455400.00  -19855.428800   -4045.838681  -17680.339017    -491.775189
   28  G16  2205  456300.00  -18079.861041   -5065.083504  -19236.412186    -491.778565
   29  G16  2205  457200.00  -16227.126423   -6260.389697  -20473.133240    -491.782174
   30  G16  2205  458100.00  -14342.184348   -7624.022638  -21369.336854    -491.785651
   31  G16  2205  459000.00  -12468.821815   -9140.182675  -21909.249184    -491.788922
   32  G16  2205  459900.00  -10648.140003  -10785.400156  -22082.779125    -491.792606
   33  G16  2205  460800.00   -8917.134164  -12529.218330  -21885.741292    -491.796281
   34  G16  2205  461700.00   -7307.417266  -14335.145956  -21320.004321    -491.799723
   35  G16  2205  462600.00   -5844.134654  -16161.852076  -20393.557568    -491.803383
   36  G16  2205  463500.00   -4545.112253  -17964.566298  -19120.489133    -491.806489
   37  G16  2205  464400.00   -3420.274436  -19696.639277  -17520.868335    -491.809818
   38  G16  2205  465300.00   -2471.359530  -21311.210382  -15620.526466    -491.813356
   39  G16  2205  466200.00   -1691.951176  -22762.922997  -13450.731004    -491.816716
   40  G16  2205  467100.00   -1067.832531  -24009.623157  -11047.750419    -491.820187
   41  G16  2205  468000.00    -577.657826  -25013.974665   -8452.309329    -491.823476
   42  G16  2205  468900.00    -193.922557  -25744.923833   -5708.937074    -491.827006
   43  G16  2205  469800.00     115.799854  -26178.950049   -2865.216503    -491.830342
   44  G16  2205  470700.00     387.400072  -26301.044584      29.056058    -491.833674
   45  G16  2205  471600.00     658.610446  -26105.369524    2922.784470    -491.836869
   46  G16  2205  472500.00     967.284741  -25595.561229    5764.540861    -491.840224
   47  G16  2205  473400.00    1349.653421  -24784.657815    8503.565330    -491.843741
   48  G16  2205  474300.00    1838.631260  -23694.647117   11090.771755    -491.847138
   49  G16  2205  475200.00    2462.253482  -22355.649529   13479.732534    -491.850408
   50  G16  2205  476100.00    3242.311932  -20804.767858   15627.614683    -491.853752
   51  G16  2205  477000.00    4193.254120  -19084.652799   17496.040731    -491.857096
   52  G16  2205  477900.00    5321.395719  -17241.846743   19051.850174    -491.860612
   53  G16  2205  478800.00    6624.482075  -15324.979349   20267.740823    -491.863966
   54  G16  2205  479700.00    8091.617341  -13382.895054   21122.773912    -491.867392
   55  G16  2205  480600.00    9703.562146  -11462.795027   21602.732058    -491.870958
   56  G16  2205  481500.00   11433.383338   -9608.473967   21700.324621    -491.874128
   57  G16  2205  482400.00   13247.423273   -7858.725916   21415.240505    -491.877658
   58  G16  2205  483300.00   15106.542414   -6245.983482   20754.053456    -491.880882
   59  G16  2205  484200.00   16967.578068   -4795.242273   19729.989335    -491.884404
   60  G16  2205  485100.00   18784.954573   -3523.307942   18362.568350    -491.887686
   61  G16  2205  486000.00   20512.376125   -2438.387861   16677.137840    -491.891309
   62  G16  2205  486900.00   22104.532728   -1540.034038   14704.312790    -491.894588
   63  G16  2205  487800.00   23518.752080    -819.429203   12479.341925    -491.898028
   64  G16  2205  488700.00   24716.535251    -259.994724   10041.417084    -491.901402
   65  G16  2205  489600.00   25664.921187     161.712514    7432.942736    -491.904683
   66  G16  2205  490500.00   26337.633835     474.856462    4698.781174    -491.908438
   67  G16  2205  491400.00   26715.975541     712.980794    1885.487227    -491.911793
   68  G16  2205  492300.00   26789.440813     912.524527    -959.455501    -491.915150
   69  G16  2205  493200.00   26556.035076    1111.251207   -3788.386755    -491.918731
   70  G16  2205  494100.00   26022.293430    1346.649302   -6554.201796    -491.922211
   71  G16  2205  495000.00   25203.004285    1654.360286   -9211.056869    -491.925448
   72  G16  2205  495900.00   24120.651935    2066.688393  -11715.042609    -491.929111
   73  G16  2205  496800.00   22804.600482    2611.242007  -14024.821017    -491.932422
   74  G16  2205  497700.00   21290.048968    3309.751626  -16102.222386    -491.935803
