#Epch  SVN  Week   Week-Sec          X[km]         Y[km]          Z[km]           T[Ms]
#====  ===  ====  =========  =============  =============  =============  =============
    1  G28  2205  432000.00   11652.514653  -10756.599046  -20832.381659     371.311671
    2  G28  2205  432900.00   12518.724644   -8390.153343  -21376.258222     371.308321
    3  G28  2205  433800.00   13523.501059   -6031.440313  -21534.989592     371.305138
    4  G28  2205  434700.00   14648.244547   -3729.600704  -21304.838696     371.301464
    5  G28  2205  435600.00   15866.610782   -1530.285242  -20689.418885     371.298208
    6  G28  2205  436500.00   17145.496024     526.038469  -19699.659549     371.294991
    7  G28  2205  437400.00   18446.331413    2405.556016  -18353.594737     371.291811
    8  G28  2205  438300.00   19726.627365    4082.285475  -16675.980006     371.288464
    9  G28  2205  439200.00   20941.696572    5538.912956  -14697.749742     371.285494
   10  G28  2205  440100.00   22046.475483    6767.249249  -12455.333510     371.282636
   11  G28  2205  441000.00   22997.360297    7768.292012   -9989.855147     371.279448
   12  G28  2205  441900.00   23753.974550    8551.897948   -7346.241985     371.276561
   13  G28  2205  442800.00   24280.791058    9136.088446   -4572.273543     371.273660
   14  G28  2205  443700.00   24548.540645    9546.028958   -1717.599321     371.270985
   15  G28  2205  444600.00   24535.352773    9812.736136    1167.245981     371.268152
   16  G28  2205  445500.00   24227.587919    9971.576729    4031.804165     371.265348
   17  G28  2205  446400.00   23620.337186   10060.628260    6826.610068     371.262398
   18  G28  2205  447300.00   22717.580167   10118.973661    9504.045148     371.259768
   19  G28  2205  448200.00   21532.006670   10185.000652   12019.114728     371.256915
   20  G28  2205  449100.00   20084.520923   10294.772239   14330.139920     371.254260
   21  G28  2205  450000.00   18403.457897   10480.527983   16399.359225     371.251553
   22  G28  2205  450900.00   16523.550120   10769.367208   18193.438211     371.248594
   23  G28  2205  451800.00   14484.689920   11182.155851   19683.888429     371.245679
   24  G28  2205  452700.00   12330.536399   11732.688620   20847.398723     371.242694
   25  G28  2205  453600.00   10107.018841   12427.128061   21666.083415     371.239995
   26  G28  2205  454500.00    7860.789025   13263.732353   22127.652456     371.236894
   27  G28  2205  455400.00    5637.674130   14232.874329   22225.508762     371.233853
   28  G28  2205  456300.00    3481.180005   15317.345612   21958.777549     371.230904
   29  G28  2205  457200.00    1431.091643   16492.931778   21332.271796     371.228049
   30  G28  2205  458100.00    -477.786118   17729.237265   20356.396990     371.224468
   31  G28  2205  459000.00   -2216.709083   18990.732245   19046.997248     371.221420
   32  G28  2205  459900.00   -3763.861983   20237.987847   17425.143850     371.218155
   33  G28  2205  460800.00   -5104.986868   21429.061004   15516.866156     371.214484
   34  G28  2205  461700.00   -6233.750276   22520.985754   13352.824097     371.210733
   35  G28  2205  462600.00   -7151.834793   23471.324118   10967.920827     371.207371
   36  G28  2205  463500.00   -7868.748149   24239.726795    8400.853878     371.203431
   37  G28  2205  464400.00   -8401.351156   24789.452020    5693.603379     371.199667
   38  G28  2205  465300.00   -8773.114438   25088.790110    2890.856522     371.195779
   39  G28  2205  466200.00   -9013.123032   25112.341808      39.368680     371.191882
   40  G28  2205  467100.00   -9154.857267   24842.100667   -2812.736690     371.187811
   41  G28  2205  468000.00   -9234.787645   24268.293640   -5616.724916     371.184148
   42  G28  2205  468900.00   -9290.830410   23389.940000   -8324.056538     371.180046
   43  G28  2205  469800.00   -9360.718533   22215.096785  -10887.232894     371.176284
   44  G28  2205  470700.00   -9480.349572   20760.769168  -13260.667029     371.172467
   45  G28  2205  471600.00   -9682.176599   19052.476385  -15401.562679     371.168545
   46  G28  2205  472500.00   -9993.710545   17123.477786  -17270.780830     371.164582
   47  G28  2205  473400.00  -10436.201468   15013.678640  -18833.670712     371.160814
   48  G28  2205  474300.00  -11023.561856   12768.250903  -20060.840205     371.156965
   49  G28  2205  475200.00  -11761.587062   10436.019179  -20928.839965     371.153233
   50  G28  2205  476100.00  -12647.516370    8067.675739  -21420.736179     371.149446
   51  G28  2205  477000.00  -13669.963347    5713.899463  -21526.549044     371.145823
   52  G28  2205  477900.00  -14809.226818    3423.461096  -21243.537705     371.142410
   53  G28  2205  478800.00  -16037.974949    1241.400359  -20576.317481     371.138614
   54  G28  2205  479700.00  -17322.275781    -792.641198  -19536.801383     371.135151
   55  G28  2205  480600.00  -18622.929406   -2645.854372  -18143.964935     371.131699
   56  G28  2205  481500.00  -19897.041178   -4293.397533  -16423.440456     371.128566
   57  G28  2205  482400.00  -21099.763043   -5719.182221  -14406.953993     371.125272
   58  G28  2205  483300.00  -22186.122015   -6916.276525  -12131.624211     371.121859
   59  G28  2205  484200.00  -23112.851713   -7886.913442   -9639.147565     371.118699
   60  G28  2205  485100.00  -23840.144520   -8642.111326   -6974.897492     371.115325
   61  G28  2205  486000.00  -24333.248248   -9200.932338   -4186.967123     371.112315
   62  G28  2205  486900.00  -24563.841277   -9589.421255   -1325.185052     371.109304
   63  G28  2205  487800.00  -24511.133206   -9839.280248    1559.867805     371.106110
   64  G28  2205  488700.00  -24162.652967   -9986.344681    4417.815018     371.103260
   65  G28  2205  489600.00  -23514.702023  -10068.930491    7199.393607     371.099983
   66  G28  2205  490500.00  -22572.465733  -10126.125325    9857.297944     371.097019
   67  G28  2205  491400.00  -21349.790385  -10196.093794   12346.945840     371.093905
   68  G28  2205  492300.00  -19868.646148  -10314.462432   14627.158386     371.091202
   69  G28  2205  493200.00  -18158.306897  -10512.842934   16660.749051     371.088316
   70  G28  2205  494100.00  -16254.286327  -10817.543611   18415.020877     371.085560
   71  G28  2205  495000.00  -14197.076018  -11248.509402   19862.173225     371.082501
   72  G28  2205  495900.00  -12030.735165  -11818.520744   20979.621474     371.079775
   73  G28  2205  496800.00   -9801.383915  -12532.671536   21750.234249     371.076715
   74  G28  2205  497700.00   -7555.652710  -13388.136711   22162.493352     371.074097
   75  G28  2205  498600.00   -5339.139169  -14374.230703   22210.581548     371.070883
   76  G28  2205  499500.00   -3194.921904  -15472.749566   21894.402973     371.067827
   77  G28  2205  500400.00   -1162.177655  -16658.581625   21219.540138     371.064369
   78  G28  2205  501300.00     725.055799  -17900.564468   20197.150572     371.061222
   79  G28  2205  502200.00    2438.933047  -19162.559630   18843.805037     371.057737
   80  G28  2205  503100.00    3958.638117  -20404.710640   17181.268190     371.054587
   81  G28  2205  504000.00    5270.978335  -21584.845040   15236.221569     371.050918
   82  G28  2205  504900.00    6370.714591  -22659.976657   13039.927975     371.047566
   83  G28  2205  505800.00    7260.614575  -23587.860801   10627.835799     371.043836
   84  G28  2205  506700.00    7951.223246  -24328.552313    8039.121648     371.040377
   85  G28  2205  507600.00    8460.352967  -24845.914626    5316.169867     371.036949
   86  G28  2205  508500.00    8812.304501  -25109.027356    2503.988317     371.033265
   87  G28  2205  509400.00    9036.839201  -25093.440747    -350.439025     371.029302
   88  G28  2205  510300.00    9167.932084  -24782.227615   -3198.860181     371.025748
   89  G28  2205  511200.00    9242.344776  -24166.787686   -5992.519259     371.021897
   90  G28  2205  512100.00    9298.066161  -23247.365400   -8682.968839     371.018320
   91  G28  2205  513000.00    9372.676475  -22033.250675  -11222.919839     371.014127
   92  G28  2205  513900.00    9501.697075  -20542.642563  -13567.114549     371.010292
   93  G28  2205  514800.00    9716.992521  -18802.168264  -15673.205123     371.006545
   94  G28  2205  515700.00   10045.293409  -16846.064046  -17502.616640     371.002694
   95  G28  2205  516600.00   10506.907051  -14715.039828  -19021.371293     370.998959
   96  G28  2205  517500.00   11114.678242  -12454.864712  -20200.848530     370.995194
   97  G28  2205  518400.00   11873.253834  -10114.725681  -21018.455482     370.991837
   98  G28  2205  519300.00   12778.692843   -7745.424936  -21458.182560     370.988282
   99  G28  2205  520200.00   13818.448290   -5397.492069  -21511.022371     370.984736
  100  G28  2205  521100.00   14971.729946   -3119.294071  -21175.232407     370.981376
  101  G28  2205  522000.00   16210.237596    -955.228814  -20456.428782     370.977715
  102  G28  2205  522900.00   17499.235709    1055.914720  -19367.503672     370.974488
  103  G28  2205  523800.00   18798.922374    2882.353500  -17928.366447     370.971222
  104  G28  2205  524700.00   20066.029996    4500.400700  -16165.515660     370.967866
  105  G28  2205  525600.00   21255.583451    5895.200748  -14111.455935     370.964733
  106  G28  2205  526500.00   22322.734026    7061.079229  -11803.979849     370.961782
  107  G28  2205  527400.00   23224.584962    8001.497551   -9285.339682     370.958519
  108  G28  2205  528300.00   23921.926797    8728.622148   -6601.337124     370.955455
  109  G28  2205  529200.00   24380.807514    9262.536523   -3800.360554     370.952679
  110  G28  2205  530100.00   24573.873117    9630.140513    -932.399309     370.949497
  111  G28  2205  531000.00   24481.427611    9863.793908    1951.937327     370.946681
  112  G28  2205  531900.00   24092.176448    9999.770453    4802.371628     370.943462
  113  G28  2205  532800.00   23403.633200   10076.593262    7569.858478     370.940522
  114  G28  2205  533700.00   22422.184596   10133.323752   10207.419354     370.937814
  115  G28  2205  534600.00   21162.823261   10207.873976   12670.897089     370.935018
  116  G28  2205  535500.00   19648.569996   10335.407112   14919.623559     370.932074
  117  G28  2205  536400.00   17909.617848   10546.883577   16916.996276     370.928870
  118  G28  2205  537300.00   15982.238374   10867.801463   18630.963132     370.926268
  119  G28  2205  538200.00   13907.496423   11317.170253   20034.417056     370.923181
  120  G28  2205  539100.00   11729.823577   11906.746768   21105.504190     370.920440
  121  G28  2205  540000.00    9495.502348   12640.552211   21827.850266     370.917235
  122  G28  2205  540900.00    7251.113499   13514.679536   22190.710397     370.914352
  123  G28  2205  541800.00    5041.997781   14517.391228   22189.047401     370.911424
  124  G28  2205  542700.00    2910.781151   15629.499118   21823.543336     370.908167
  125  G28  2205  543600.00     896.009344   16825.010127   21100.548102     370.905380
  126  G28  2205  544500.00    -969.066309   18072.014792   20031.968006     370.901797
  127  G28  2205  545400.00   -2657.514601   19333.789144   18635.096083     370.898612
  128  G28  2205  546300.00   -4149.529791   20570.074842   16932.384902     370.895500
  129  G28  2205  547200.00   -5432.990567   21738.497565   14951.161609     370.891869
  130  G28  2205  548100.00   -6503.753135   22796.079380   12723.284200     370.888427
  131  G28  2205  549000.00   -7365.666030   23700.797350   10284.737507     370.884819
  132  G28  2205  549900.00   -8030.301999   24413.137986    7675.167285     370.881393
  133  G28  2205  550800.00   -8516.410538   24897.595554    4937.351047     370.877671
  134  G28  2205  551700.00   -8849.103523   25124.061777    2116.605155     370.873995
  135  G28  2205  552600.00   -9058.795533   25069.055463    -739.871031     370.870357
  136  G28  2205  553500.00   -9179.929838   24716.743190   -3583.711225     370.866669
  137  G28  2205  554400.00   -9249.530292   24059.706659   -6366.153358     370.862969
  138  G28  2205  555300.00   -9305.628079   23099.418820   -9038.857742     370.859156
  139  G28  2205  556200.00   -9385.620083   21846.399564  -11554.760941     370.855201
  140  G28  2205  557100.00   -9524.621796   20320.032533  -13868.950601     370.851523
  141  G28  2205  558000.00   -9753.881843   18548.037331  -15939.543058     370.847954
  142  G28  2205  558900.00  -10099.326550   16565.605727  -17728.542477     370.844409
  143  G28  2205  559800.00  -10580.301209   14414.225714  -19202.657773     370.840748
  144  G28  2205  560700.00  -11208.569321   12140.232779  -20334.052008     370.837253
  145  G28  2205  561600.00  -11987.622112    9793.142547  -21100.998596     370.833517
  146  G28  2205  562500.00  -12912.338056    7423.831901  -21488.419675     370.829800
  147  G28  2205  563400.00  -13969.016575    5082.645887  -21488.284580     370.826511
  148  G28  2205  564300.00  -15135.792215    2817.514088  -21099.850395     370.823074
  149  G28  2205  565200.00  -16383.416571     672.162049  -20329.731986     370.819568
  150  G28  2205  566100.00  -17676.376192   -1315.499701  -19191.795356     370.816345
  151  G28  2205  567000.00  -18974.297097   -3114.734395  -17706.875249     370.813331
  152  G28  2205  567900.00  -20233.571545   -4703.023388  -15902.325108     370.810318
  153  G28  2205  568800.00  -21409.131482   -6066.750118  -13811.414343     370.807311
  154  G28  2205  569700.00  -22456.286358   -7201.496347  -11472.593686     370.804117
