#Epch  SVN  Week   Week-Sec          X[km]         Y[km]          Z[km]           T[Ms]
#====  ===  ====  =========  =============  =============  =============  =============
    1  G30  2205  432000.00   26059.287736    -398.865559   -5696.963734    -523.779383
    2  G30  2205  432900.00   26524.374923     -44.991036   -2962.704608    -523.780683
    3  G30  2205  433800.00   26696.879835     267.553674    -178.177725    -523.782108
    4  G30  2205  434700.00   26571.946835     573.585810    2609.375735    -523.783513
    5  G30  2205  435600.00   26152.962677     908.110290    5352.751386    -523.784905
    6  G30  2205  436500.00   25451.422126    1304.798183    8005.543580    -523.786461
    7  G30  2205  437400.00   24486.504812    1794.519258   10522.891020    -523.788037
    8  G30  2205  438300.00   23284.379303    2403.982525   12862.196603    -523.789606
    9  G30  2205  439200.00   21877.260072    3154.534699   14983.812453    -523.791224
   10  G30  2205  440100.00   20302.251428    4061.160912   16851.681458    -523.792820
   11  G30  2205  441000.00   18600.019932    5131.725052   18433.926978    -523.794452
   12  G30  2205  441900.00   16813.342851    6366.478849   19703.382690    -523.796118
   13  G30  2205  442800.00   14985.584815    7757.859619   20638.054817    -523.797741
   14  G30  2205  443700.00   13159.157724    9290.586590   21221.509342    -523.799402
   15  G30  2205  444600.00   11374.020158   10942.055238   21443.177176    -523.801070
   16  G30  2205  445500.00    9666.271764   12683.018351   21298.570738    -523.802669
   17  G30  2205  446400.00    8066.895517   14478.531971   20789.406120    -523.804279
   18  G30  2205  447300.00    6600.696160   16289.134235   19923.625810    -523.805872
   19  G30  2205  448200.00    5285.476733   18072.215801   18715.318133    -523.807495
   20  G30  2205  449100.00    4131.486911   19783.532438   17184.530945    -523.809066
   21  G30  2205  450000.00    3141.167157   21378.803805   15356.978844    -523.810582
   22  G30  2205  450900.00    2309.201678   22815.337779   13263.645163    -523.812147
   23  G30  2205  451800.00    1622.881266   24053.617315   10940.282288    -523.813673
   24  G30  2205  452700.00    1062.764696   25058.786842    8426.816319    -523.815247
   25  G30  2205  453600.00     603.614977   25801.977943    5766.664696    -523.816792
   26  G30  2205  454500.00     215.575021   26261.419385    3005.978012    -523.818421
   27  G30  2205  455400.00    -134.463330   26423.284485     192.819718    -523.820200
   28  G30  2205  456300.00    -481.351837   26282.239053   -2623.700354    -523.821950
   29  G30  2205  457200.00    -860.101457   25841.665230   -5394.320907    -523.823558
   30  G30  2205  458100.00   -1304.286532   25113.550077   -8070.533478    -523.825148
   31  G30  2205  459000.00   -1844.504074   24118.041963  -10605.476404    -523.826748
   32  G30  2205  459900.00   -2506.952736   22882.692081  -12954.798680    -523.828336
   33  G30  2205  460800.00   -3312.191045   21441.411918  -15077.474658    -523.829925
   34  G30  2205  461700.00   -4274.126799   19833.189721  -16936.551831    -523.831529
   35  G30  2205  462600.00   -5399.279444   18100.619053  -18499.815899    -523.833155
   36  G30  2205  463500.00   -6686.345425   16288.300272  -19740.359698    -523.834723
   37  G30  2205  464400.00   -8126.083343   14441.180477  -20637.045365    -523.836258
   38  G30  2205  465300.00   -9701.522194   12602.899358  -21174.852078    -523.837819
   39  G30  2205  466200.00  -11388.482385   10814.207129  -21345.104766    -523.839407
   40  G30  2205  467100.00  -13156.386506    9111.516736  -21145.582178    -523.840991
   41  G30  2205  468000.00  -14969.325316    7525.645939  -20580.505508    -523.842540
   42  G30  2205  468900.00  -16787.334738    6080.796174  -19660.411338    -523.844023
   43  G30  2205  469800.00  -18567.831971    4793.804742  -18401.914852    -523.845566
   44  G30  2205  470700.00  -20267.153578    3673.695371  -16827.371152    -523.847174
   45  G30  2205  471600.00  -21842.135472    2721.540079  -14964.443963    -523.848748
   46  G30  2205  472500.00  -23251.674247    1930.633081  -12845.592121    -523.850306
   47  G30  2205  473400.00  -24458.211124    1286.965610  -10507.484982    -523.851860
   48  G30  2205  474300.00  -25429.083704     769.979521   -7990.358352    -523.853452
   49  G30  2205  475200.00  -26137.696557     353.567596   -5337.322689    -523.854928
   50  G30  2205  476100.00  -26564.469217       7.280061   -2593.635344    -523.856120
   51  G30  2205  477000.00  -26697.528392    -302.310010     194.051714    -523.857583
   52  G30  2205  477900.00  -26533.121280    -610.134720    2978.457456    -523.859017
   53  G30  2205  478800.00  -26075.736716    -951.108279    5712.439895    -523.860509
   54  G30  2205  479700.00  -25337.931378   -1358.609499    8349.756435    -523.862053
   55  G30  2205  480600.00  -24339.868792   -1863.025774   10845.806575    -523.863582
   56  G30  2205  481500.00  -23108.588490   -2490.412043   13158.347608    -523.865128
   57  G30  2205  482400.00  -21677.032149   -3261.313982   15248.174311    -523.866699
   58  G30  2205  483300.00  -20082.861909   -4189.798919   17079.753998    -523.868331
   59  G30  2205  484200.00  -18367.113241   -5282.730768   18621.808653    -523.869944
   60  G30  2205  485100.00  -16572.730659   -6539.316941   19847.836142    -523.871596
   61  G30  2205  486000.00  -14743.038895   -7950.945837   20736.562824    -523.873170
   62  G30  2205  486900.00  -12920.204886   -9501.323437   21272.320184    -523.874777
   63  G30  2205  487800.00  -11143.746781  -11166.907000   21445.338538    -523.876392
   64  G30  2205  488700.00   -9449.145236  -12917.623162   21251.951361    -523.878004
   65  G30  2205  489600.00   -7866.609362  -14717.847176   20694.704478    -523.879604
   66  G30  2205  490500.00   -6420.044887  -16527.610035   19782.365265    -523.881174
   67  G30  2205  491400.00   -5126.265425  -18303.990973   18529.828154    -523.882719
   68  G30  2205  492300.00   -3994.479364  -20002.644990   16957.914211    -523.884235
   69  G30  2205  493200.00   -3026.074959  -21579.408643   15093.064270    -523.885784
   70  G30  2205  494100.00   -2214.715083  -22991.923052   12966.927199    -523.887284
   71  G30  2205  495000.00   -1546.741052  -24201.210923   10615.847130    -523.888787
   72  G30  2205  495900.00   -1001.872539  -25173.144844    8080.256032    -523.890317
   73  G30  2205  496800.00    -554.178266  -25879.747126    5403.980572    -523.891825
   74  G30  2205  497700.00    -173.280513  -26300.267187    2633.474839    -523.893561
   75  G30  2205  498600.00     174.253901  -26421.990714    -183.007071    -523.895453
   76  G30  2205  499500.00     523.392098  -26240.745337   -2996.282384    -523.897184
   77  G30  2205  500400.00     909.045300  -25761.079884   -5757.136978    -523.898807
   78  G30  2205  501300.00    1364.476507  -24996.107949   -8417.229511    -523.900348
   79  G30  2205  502200.00    1919.772113  -23967.020739  -10929.982563    -523.901962
   80  G30  2205  503100.00    2600.441559  -22702.288385  -13251.441097    -523.903587
   81  G30  2205  504000.00    3426.203719  -21236.582309  -15341.079295    -523.905271
   82  G30  2205  504900.00    4410.010710  -19609.463130  -17162.538253    -523.906809
   83  G30  2205  505800.00    5557.349452  -17863.888443  -18684.278997    -523.908417
   84  G30  2205  506700.00    6865.849244  -16044.602075  -19880.137786    -523.910069
   85  G30  2205  507600.00    8325.210424  -14196.470834  -20729.773434    -523.911663
   86  G30  2205  508500.00    9917.455500  -12362.836163  -21218.999412    -523.913345
   87  G30  2205  509400.00   11617.490729  -10583.946540  -21339.996521    -523.914943
   88  G30  2205  510300.00   13393.953446   -8895.532050  -21091.404919    -523.916501
   89  G30  2205  511200.00   15210.309222   -7327.575688  -20478.297059    -523.918088
   90  G30  2205  512100.00   17026.153455   -5903.327007  -19512.035599    -523.919639
   91  G30  2205  513000.00   18798.664675   -4638.593147  -18210.022523    -523.921189
   92  G30  2205  513900.00   20484.151867   -3541.330708  -16595.347520    -523.922710
   93  G30  2205  514800.00   22039.635527   -2611.549753  -14696.345062    -523.924303
   94  G30  2205  515700.00   23424.402005   -1841.529038  -12546.070725    -523.925766
   95  G30  2205  516600.00   24601.472822   -1216.329831  -10181.707946    -523.927309
