#Epch  SVN  Week   Week-Sec          X[km]         Y[km]          Z[km]           T[Ms]
#====  ===  ====  =========  =============  =============  =============  =============
    1  R12  2205  432000.00  -14171.826788    1080.414343   21207.638891      17.930133
    2  R12  2205  432900.00  -16164.944715    -465.780313   19754.875624      17.930366
    3  R12  2205  433800.00  -18099.869819   -1746.777535   17919.420629      17.930441
    4  R12  2205  434700.00  -19912.014492   -2755.131084   15736.800087      17.930369
    5  R12  2205  435600.00  -21538.460521   -3495.884301   13249.257410      17.930499
    6  R12  2205  436500.00  -22920.518391   -3986.105873   10504.945208      17.930541
    7  R12  2205  437400.00  -24006.131273   -4253.919529    7557.003011      17.930943
    8  R12  2205  438300.00  -24752.023648   -4337.068650    4462.537563      17.930964
    9  R12  2205  439200.00  -25125.504760   -4281.076273    1281.524524      17.931058
   10  R12  2205  440100.00  -25105.850987   -4137.077897   -1924.347821      17.931172
   11  R12  2205  441000.00  -24685.208519   -3959.418473   -5092.870875      17.931347
   12  R12  2205  441900.00  -23868.977469   -3803.115059   -8162.521122      17.931456
   13  R12  2205  442800.00  -22675.660152   -3721.292598  -11073.655149      17.931432
   14  R12  2205  443700.00  -21136.178611   -3762.701683  -13769.670864      17.931547
   15  R12  2205  444600.00  -19292.688760   -3969.424029  -16198.111981      17.931809
   16  R12  2205  445500.00  -17196.939698   -4374.863663  -18311.693853      17.932112
   17  R12  2205  446400.00  -14908.245928   -5002.110046  -20069.230254      17.932172
   18  R12  2205  447300.00  -12491.156542   -5862.743745  -21436.442579      17.932206
   19  R12  2205  448200.00  -10012.918294   -6956.136744  -22386.635268      17.932178
   20  R12  2205  449100.00   -7540.838168   -8269.278653  -22901.223834      17.932240
   21  R12  2205  450000.00   -5139.655406   -9777.137876  -22970.104756      17.932191
   22  R12  2205  450900.00   -2869.032586  -11443.544176  -22591.859539      17.932419
   23  R12  2205  451800.00    -781.270447  -13222.556974  -21773.788501      17.932394
   24  R12  2205  452700.00    1080.658227  -15060.262992  -20531.773118      17.932661
   25  R12  2205  453600.00    2684.673716  -16896.928513  -18889.969211      17.932844
   26  R12  2205  454500.00    4010.688436  -18669.416251  -16880.336583      17.932823
   27  R12  2205  455400.00    5051.194613  -20313.765315  -14542.014117      17.932831
   28  R12  2205  456300.00    5811.316907  -21767.825576  -11920.552520      17.933051
   29  R12  2205  457200.00    6308.329070  -22973.835178   -9067.019953      17.933227
   30  R12  2205  458100.00    6570.656537  -23880.832158   -6036.998517      17.933497
   31  R12  2205  459000.00    6636.408825  -24446.798122   -2889.491931      17.933819
   32  R12  2205  459900.00    6551.505592  -24640.443288     314.233328      17.934109
   33  R12  2205  460800.00    6367.477506  -24442.557551    3511.849756      17.933982
   34  R12  2205  461700.00    6139.036764  -23846.870805    6641.188965      17.934122
   35  R12  2205  462600.00    5921.521659  -22860.386707    9641.455520      17.934543
   36  R12  2205  463500.00    5768.324585  -21503.176534   12454.410167      17.934782
   37  R12  2205  464400.00    5728.413143  -19807.642599   15025.499098      17.934764
   38  R12  2205  465300.00    5844.049571  -17817.283013   17304.907374      17.934895
   39  R12  2205  466200.00    6148.804845  -15585.010260   19248.516514      17.934915
   40  R12  2205  467100.00    6665.950982  -13171.094433   20818.748536      17.935225
   41  R12  2205  468000.00    7407.298797  -10640.817129   21985.281242      17.935555
   42  R12  2205  468900.00    8372.529539   -8061.933522   22725.622203      17.935483
   43  R12  2205  469800.00    9549.048098   -5502.047472   23025.531712      17.935546
   44  R12  2205  470700.00   10912.363819   -3026.007660   22879.287751      17.935766
   45  R12  2205  471600.00   12426.983146    -693.431347   22289.788882      17.935954
   46  R12  2205  472500.00   14047.777281    1443.543170   21268.493738      17.936271
   47  R12  2205  473400.00   15721.768565    3342.183964   19835.198565      17.936274
   48  R12  2205  474300.00   17390.262027    4970.694527   18017.656988      17.936724
   49  R12  2205  475200.00   18991.234328    6309.282585   15851.048844      17.936895
   50  R12  2205  476100.00   20461.881534    7350.725618   13377.307559      17.936951
   51  R12  2205  477000.00   21741.220370    8100.410679   10644.318066      17.937357
   52  R12  2205  477900.00   22772.635036    8575.847644    7704.999720      17.937424
   53  R12  2205  478800.00   23506.263517    8805.676834    4616.290898      17.937497
   54  R12  2205  479700.00   23901.123553    8828.212885    1438.054066      17.937320
   55  R12  2205  480600.00   23926.888852    8689.586191   -1768.078199      17.937268
   56  R12  2205  481500.00   23565.240327    8441.560174   -4939.894282      17.937027
