#Epch  SVN  Week   Week-Sec          X[km]         Y[km]          Z[km]           T[Ms]
#====  ===  ====  =========  =============  =============  =============  =============
    1  R07  2205  432000.00   -2910.493938  -20621.580080  -14716.804709      33.872704
    2  R07  2205  432900.00   -2749.508469  -22279.560731  -12112.027508      33.873082
    3  R07  2205  433800.00   -2743.339295  -23611.008866   -9271.951198      33.873655
    4  R07  2205  434700.00   -2846.750295  -24578.708057   -6251.877778      33.874297
    5  R07  2205  435600.00   -3008.735471  -25157.302297   -3110.520780      33.874871
    6  R07  2205  436500.00   -3174.915654  -25334.258559      91.140102      33.875575
    7  R07  2205  437400.00   -3290.075485  -25110.310112    3291.041962      33.875705
    8  R07  2205  438300.00   -3300.733058  -24499.364472    6427.236134      33.875894
    9  R07  2205  439200.00   -3157.633927  -23527.882100    9439.077301      33.875953
   10  R07  2205  440100.00   -2818.064981  -22233.753733   12268.382019      33.876468
   11  R07  2205  441000.00   -2247.891758  -20664.724592   14860.535435      33.877140
   12  R07  2205  441900.00   -1423.234637  -18876.431927   17165.526396      33.877077
   13  R07  2205  442800.00    -331.714535  -16930.137664   19138.892759      33.877633
   14  R07  2205  443700.00    1026.783450  -14890.249818   20742.560601      33.877667
   15  R07  2205  444600.00    2639.860294  -12821.734406   21945.563040      33.877468
   16  R07  2205  445500.00    4482.878211  -10787.523599   22724.626494      33.878300
   17  R07  2205  446400.00    6519.750541   -8846.025670   23064.614382      33.878286
   18  R07  2205  447300.00    8704.215489   -7048.838023   22958.820521      33.879256
   19  R07  2205  448200.00   10981.543274   -5438.756393   22409.106727      33.879059
   20  R07  2205  449100.00   13290.608648   -4048.161438   21425.881498      33.879327
   21  R07  2205  450000.00   15566.245695   -2897.848912   20027.919058      33.879669
   22  R07  2205  450900.00   17741.789861   -1996.351864   18242.020559      33.880362
   23  R07  2205  451800.00   19751.703907   -1339.783495   16102.521869      33.881410
   24  R07  2205  452700.00   21534.180168    -912.208154   13650.655102      33.881409
   25  R07  2205  453600.00   23033.611520    -686.526180   10933.773865      33.882342
   26  R07  2205  454500.00   24202.827869    -625.836868    8004.455034      33.882483
   27  R07  2205  455400.00   25005.003729    -685.223493    4919.492686      33.882080
   28  R07  2205  456300.00   25415.155345    -813.886067    1738.802501      33.882307
   29  R07  2205  457200.00   25421.162387    -957.532119   -1475.742648      33.882618
   30  R07  2205  458100.00   25024.268873   -1060.924001   -4661.523122      33.882485
   31  R07  2205  459000.00   24239.039877   -1070.473769   -7756.404563      33.882793
   32  R07  2205  459900.00   23092.773778    -936.773839  -10699.966176      33.883061
   33  R07  2205  460800.00   21624.393288    -616.953754  -13434.699482      33.883357
   34  R07  2205  461700.00   19882.861116     -76.760397  -15907.152118      33.883484
   35  R07  2205  462600.00   17925.186889     707.729399  -18068.992258      33.883836
   36  R07  2205  463500.00   15814.109805    1748.839134  -19877.970947      33.884293
   37  R07  2205  464400.00   13615.555592    3046.521964  -21298.761915      33.884330
   38  R07  2205  465300.00   11395.976124    4588.123549  -22303.661243      33.885124
   39  R07  2205  466200.00    9219.684915    6348.689728  -22873.132484      33.884980
   40  R07  2205  467100.00    7146.301637    8291.806690  -22996.186351      33.885973
   41  R07  2205  468000.00    5228.413715   10370.938323  -22670.587803      33.886292
   42  R07  2205  468900.00    3509.553276   12531.204009  -21902.887149      33.887703
   43  R07  2205  469800.00    2022.573745   14711.521394  -20708.275573      33.888001
   44  R07  2205  470700.00     788.492845   16847.023205  -19110.269170      33.888546
   45  R07  2205  471600.00    -184.151523   18871.645789  -17140.229109      33.889040
   46  R07  2205  472500.00    -899.408165   20720.780100  -14836.728813      33.889941
   47  R07  2205  473400.00   -1373.480865   22333.873664  -12244.782036      33.890959
   48  R07  2205  474300.00   -1633.779496   23656.874560   -9414.948360      33.891559
   49  R07  2205  475200.00   -1717.497191   24644.415670   -6402.334877      33.892353
   50  R07  2205  476100.00   -1669.776470   25261.648833   -3265.514608      33.892821
   51  R07  2205  477000.00   -1541.544119   25485.653703     -65.383541      33.893034
   52  R07  2205  477900.00   -1387.107970   25306.364269    3136.020996      33.893542
   53  R07  2205  478800.00   -1261.618051   24726.976382    6276.717598      33.894249
   54  R07  2205  479700.00   -1218.499549   23763.821337    9295.970782      33.894683
   55  R07  2205  480600.00   -1306.965510   22445.712628   12135.451476      33.894640
   56  R07  2205  481500.00   -1569.713230   20812.794580   14740.346698      33.895277
   57  R07  2205  482400.00   -2040.900171   18914.941701   17060.398577      33.895099
   58  R07  2205  483300.00   -2744.483265   16809.775555   19050.854414      33.895330
   59  R07  2205  484200.00   -3692.990331   14560.381113   20673.311419      33.896635
   60  R07  2205  485100.00   -4886.774510   12232.816223   21896.441703      33.897252
   61  R07  2205  486000.00   -6313.782976    9893.515837   22696.585266      33.897740
   62  R07  2205  486900.00   -7949.850340    7606.696533   23058.200861      33.898850
   63  R07  2205  487800.00   -9759.506027    5431.866693   22974.166871      33.899822
   64  R07  2205  488700.00  -11697.264161    3421.543399   22445.926608      33.900194
   65  R07  2205  489600.00  -13709.344895    1619.268910   21483.474773      33.900238
   66  R07  2205  490500.00  -15735.758470      58.007706   20105.184256      33.900801
   67  R07  2205  491400.00  -17712.668153   -1241.010005   18337.474933      33.901644
   68  R07  2205  492300.00  -19574.936239   -2268.950255   16214.328785      33.901814
   69  R07  2205  493200.00  -21258.749022   -3029.514628   13776.658331      33.902400
   70  R07  2205  494100.00  -22704.212434   -3538.550124   11071.538244      33.902882
   71  R07  2205  495000.00  -23857.810245   -3823.144680    8151.312803      33.902904
   72  R07  2205  495900.00  -24674.621350   -3920.245050    5072.594692      33.903393
   73  R07  2205  496800.00  -25120.201792   -3874.854206    1895.173314      33.903735
   74  R07  2205  497700.00  -25172.050414   -3737.883653   -1319.146768      33.903796
   75  R07  2205  498600.00  -24820.594015   -3563.751447   -4507.754545      33.904153
   76  R07  2205  499500.00  -24069.647904   -3407.828237   -7608.464123      33.904155
   77  R07  2205  500400.00  -22936.329949   -3323.840965  -10560.743766      33.904131
   78  R07  2205  501300.00  -21450.429649   -3361.346258  -13306.916659      33.904506
   79  R07  2205  502200.00  -19653.257333   -3563.383148  -15793.307917      33.905250
   80  R07  2205  503100.00  -17596.021171   -3964.407291  -17971.313387      33.905299
   81  R07  2205  504000.00  -15337.800264   -4588.596934  -19798.367406      33.905638
   82  R07  2205  504900.00  -12943.199658   -5448.604797  -21238.788981      33.905497
   83  R07  2205  505800.00  -10479.786839   -6544.810676  -22264.488633      33.905486
   84  R07  2205  506700.00   -8015.418632   -7865.107805  -22855.521326      33.906418
   85  R07  2205  507600.00   -5615.571840   -9385.232785  -23000.474449      33.906789
   86  R07  2205  508500.00   -3340.790506  -11069.625366  -22696.683460      33.907235
   87  R07  2205  509400.00   -1244.357178  -12872.781464  -21950.271651      33.907320
