#Epch  SVN  Week   Week-Sec          X[km]         Y[km]          Z[km]           T[Ms]
#====  ===  ====  =========  =============  =============  =============  =============
    1  R14  2205  432000.00   14929.351113   18674.479945    8920.650659      76.522923
    2  R14  2205  432900.00   14008.777043   17785.666260   11774.470829      76.523140
    3  R14  2205  433800.00   12751.236128   16771.016354   14399.856762      76.523652
    4  R14  2205  434700.00   11163.114032   15689.768839   16745.890245      76.524217
    5  R14  2205  435600.00    9263.529842   14600.484184   18767.071046      76.524772
    6  R14  2205  436500.00    7083.792688   13558.521399   20424.194725      76.524580
    7  R14  2205  437400.00    4666.353936   12613.668257   21685.108841      76.525056
    8  R14  2205  438300.00    2063.297390   11808.024132   22525.333492      76.525201
    9  R14  2205  439200.00    -665.570946   11174.223817   22928.534683      76.525655
   10  R14  2205  440100.00   -3454.955513   10734.076409   22886.841728      76.525786
   11  R14  2205  441000.00   -6236.534921   10497.676040   22401.002675      76.526054
   12  R14  2205  441900.00   -8941.555782   10463.021627   21480.374628      76.526339
   13  R14  2205  442800.00  -11503.450207   10616.161625   20142.748776      76.526953
   14  R14  2205  443700.00  -13860.369302   10931.857940   18414.012865      76.527051
   15  R14  2205  444600.00  -15957.528203   11374.741446   16327.656883      76.526855
   16  R14  2205  445500.00  -17749.265678   11900.910888   13924.130642      76.527182
   17  R14  2205  446400.00  -19200.732877   12459.908220   11250.064869      76.527669
   18  R14  2205  447300.00  -20289.140986   12996.987318    8357.370205      76.528429
   19  R14  2205  448200.00  -21004.515765   13455.580347    5302.231116      76.528614
   20  R14  2205  449100.00  -21349.927486   13779.857357    2144.014041      76.528984
   21  R14  2205  450000.00  -21341.186807   13917.270364   -1055.888887      76.529045
   22  R14  2205  450900.00  -21006.019653   13820.973530   -4235.257687      76.529680
   23  R14  2205  451800.00  -20382.756274   13452.016033   -7332.260014      76.530761
   24  R14  2205  452700.00  -19518.590254   12781.213703  -10286.659874      76.531368
   25  R14  2205  453600.00  -18467.481589   11790.619042  -13040.995252      76.532024
   26  R14  2205  454500.00  -17287.792964   10474.526266  -15541.700992      76.532437
   27  R14  2205  455400.00  -16039.759655    8839.967747  -17740.154509      76.533311
   28  R14  2205  456300.00  -14782.900317    6906.679779  -19593.623630      76.533684
   29  R14  2205  457200.00  -13573.478224    4706.538070  -21066.098002      76.534231
   30  R14  2205  458100.00  -12462.120085    2282.485690  -22128.988011      76.534973
   31  R14  2205  459000.00  -11491.692618    -313.002461  -22761.677929      76.535041
   32  R14  2205  459900.00  -10695.525921   -3019.855262  -22951.922953      76.535418
   33  R14  2205  460800.00  -10096.057797   -5772.660953  -22696.082897      76.535849
   34  R14  2205  461700.00   -9703.955340   -8503.149369  -21999.188460      76.535836
   35  R14  2205  462600.00   -9517.749879  -11142.798104  -20874.839143      76.536372
   36  R14  2205  463500.00   -9523.999742  -13625.454827  -19344.935078      76.537006
   37  R14  2205  464400.00   -9697.973136  -15889.867314  -17439.248110      76.537812
   38  R14  2205  465300.00  -10004.821586  -17882.016629  -15194.840529      76.538413
   39  R14  2205  466200.00  -10401.193769  -19557.157088  -12655.342695      76.539030
   40  R14  2205  467100.00  -10837.221083  -20881.478816   -9870.103582      76.539224
   41  R14  2205  468000.00  -11258.790671  -21833.324475   -6893.230686      76.539588
   42  R14  2205  468900.00  -11610.009489  -22403.910304   -3782.538028      76.540252
   43  R14  2205  469800.00  -11835.754975  -22597.522397    -598.422762      76.540232
   44  R14  2205  470700.00  -11884.204238  -22431.181038    2597.307624      76.540343
